col,km_kld,km_kst,knm_kld,knm_kst
mean,0.5612954797207519,0.08241452277536465,0.4658449647663277,0.07142857142857142
std,0.9639566067584295,0.09624540594721018,0.8734834897461242,0.07142857142857142
0.1,0.4986555186459456,0.25925539221145627,0.4986066252573948,0.23708206686930092
0.25,0.47658514879861735,0.25619733080892443,0.41512928093092705,0.24620060790273557
0.5,0.35563956828842275,0.25168448602294236,0.329810376685705,0.24164133738601823
0.75,0.32863798336363664,0.21507823811114815,0.37679301494762435,0.18693009118541035
0.9,0.6323265618113925,0.10268172031035373,0.5347489237722803,0.0972644376899696
centroid_distance_n_clusters_10,0.4696676996332911,0.11660773285815054,0.4613202669497665,0.11854103343465046
cluster_proportion_n_clusters_10,0.7290838270601303,0.07212662880053453,0.6697531566945389,0.11094224924012158
iterations_k_n_clusters_10,0.12823810768184335,0.10155176894234692,0.4748653158667567,0.1094224924012158
wcv_ratio_n_clusters_10,1.354754682238775,0.05158332405241868,1.3892495333563286,0.0486322188449848
centroid_distance_n_clusters_20,0.28797011557042695,0.1028464565467573,0.601684397158441,0.17933130699088146
cluster_proportion_n_clusters_20,0.6887491826608757,0.20643306604298914,0.8875856049703171,0.26443768996960487
iterations_k_n_clusters_20,0.09518929509328794,0.07203149942458323,0.1270580409227832,0.05927051671732523
wcv_ratio_n_clusters_20,1.0326857687957547,0.10404833500389801,1.3554491908046682,0.11094224924012158
centroid_distance_n_clusters_50,0.634724965352548,0.17112150573560533,0.715338927812174,0.20820668693009117
cluster_proportion_n_clusters_50,0.7490840883123947,0.2167279207038645,0.8229073295313301,0.2917933130699088
iterations_k_n_clusters_50,0.16446735275465277,0.09502496566061554,0.19055989026294684,0.1717325227963526
wcv_ratio_n_clusters_50,1.036244353791373,0.15259679994060216,0.996787538671308,0.13069908814589665
centroid_distance_n_clusters_100,0.8279706781128885,0.14389362215539958,0.7888914056111418,0.08206686930091185
cluster_proportion_n_clusters_100,0.6646344402341011,0.1970941455989902,0.8154527137097644,0.2826747720364742
iterations_k_n_clusters_100,0.1977135040068705,0.1290789620224969,0.08458165032273428,0.03951367781155015
wcv_ratio_n_clusters_100,1.055083663798668,0.08703641830938859,1.1214142815227324,0.11550151975683891
centroid_distance_n_clusters_500,0.8320202578834772,0.1337217396146565,1.102068491987891,0.1717325227963526
cluster_proportion_n_clusters_500,0.9297686511551608,0.34638461966811446,0.8609892140849019,0.43465045592705165
iterations_k_n_clusters_500,0.09617068942621644,0.10325945725210683,0.2647368995677948,0.11702127659574468
wcv_ratio_n_clusters_500,0.9842833572324787,0.21400165200282145,0.765083488987353,0.2188449848024316
centroid_distance_n_points_per_cluster_10,5.14237407968528,0.8476932286446153,6.189079298695254,0.9270516717325228
cluster_proportion_n_points_per_cluster_10,2.7441682102859826,0.7104284998329434,2.6499973597251705,0.7082066869300911
iterations_k_n_points_per_cluster_10,0.1213765244514766,0.1989920926606526,0.10237385480368438,0.19300911854103345
wcv_ratio_n_points_per_cluster_10,0.4399015092028102,0.0961456361138954,0.3006578299150549,0.0851063829787234
centroid_distance_n_points_per_cluster_30,1.5160424687727232,0.4423307161153804,2.5404889656763037,0.5729483282674772
cluster_proportion_n_points_per_cluster_30,2.729297075123017,0.683012677729517,2.6233970735498717,0.6975683890577508
iterations_k_n_points_per_cluster_30,0.09892754744633145,0.18368554404722126,0.08728168665210598,0.06990881458966565
wcv_ratio_n_points_per_cluster_30,0.40300182374716886,0.08753294724728074,0.15691033342726143,0.0851063829787234
centroid_distance_n_points_per_cluster_100,1.1328246574272594,0.27047369788766384,1.3648438554349385,0.3252279635258359
cluster_proportion_n_points_per_cluster_100,2.46257547895237,0.6205219586442439,2.6050001458695364,0.6565349544072948
iterations_k_n_points_per_cluster_100,0.07925886922729218,0.087725526227864975,0.07164131648676646,0.0486322188449848
