col,km_kld,km_kst,knm_kld,knm_kst
mean,0.26751443219808607,0.1491628614916286,0.5142598835212684,0.22340425531914893
std,0.4939862390794809,0.0669710806697108,0.7713198317505294,0.08966565349544073
0.1,0.3578430914766107,0.2465753424657534,0.8828995780438124,0.42401215805471126
0.25,0.3463002321634143,0.2557077625570776,0.8709227446437315,0.4513677811550152
0.5,0.3107656292156535,0.2648401826484018,0.7531305085716826,0.46048632218844987
0.75,0.24011214932418828,0.2298325722983257,0.6254611092099773,0.39209726443768994
0.9,0.47997202143027384,0.1796042617960426,0.7873680756115992,0.24316109422492402
centroid_distance_n_clusters_10,0.9679564208191271,0.2648401826484018,0.9553203518201537,0.23556231003039513
cluster_proportion_n_clusters_10,0.7475714501507389,0.1598173515981735,0.9300397394730742,0.24772036474164133
iterations_k_n_clusters_10,0.3647790083601094,0.2937595129375951,0.4665150846229425,0.22644376899696048
wcv_ratio_n_clusters_10,1.3364446790098239,0.0928462709284627,1.3847163358491463,0.1717325227963526
centroid_distance_n_clusters_20,0.6477641634211339,0.2770167427701674,0.6557085163386938,0.22796352583586627
cluster_proportion_n_clusters_20,1.1206665615742317,0.2328767123287671,1.2745209534931479,0.3799392097264438
iterations_k_n_clusters_20,0.5667096816455814,0.3135464231354642,0.5279779603126591,0.26595744680851063
wcv_ratio_n_clusters_20,1.2415662191391592,0.1400304414003044,1.6278279305410057,0.19908814589665652
centroid_distance_n_clusters_50,0.8890686023676976,0.2572298325722983,0.9817159211822827,0.1656534954407295
cluster_proportion_n_clusters_50,0.9378741066697627,0.2404870624048706,1.4811359958176586,0.4376899696048632
iterations_k_n_clusters_50,0.8389505065523792,0.4687975646879756,0.7923860115571701,0.45896656534954405
wcv_ratio_n_clusters_50,1.290997523441693,0.1917808219178082,1.3610859894594876,0.3009118541033435
centroid_distance_n_clusters_100,0.7507831801934086,0.2420091324200913,0.680201705530479,0.24012158054711247
cluster_proportion_n_clusters_100,1.1498138762117636,0.289193302891933,1.7299245252175237,0.4452887537993921
iterations_k_n_clusters_100,0.47968679698273475,0.3272450532724505,0.4046446819320512,0.34194528875379937
wcv_ratio_n_clusters_100,0.9879846727834182,0.1430745814307458,1.4230203268048383,0.2796352583586626
centroid_distance_n_clusters_500,1.4250276567555085,0.3835616438356164,1.783298891693835,0.4088145896656535
cluster_proportion_n_clusters_500,1.9610302895376575,0.54337899543379,2.7982756840706773,0.6960486322188449
iterations_k_n_clusters_500,1.2122541396593456,0.5646879756468797,0.9300722843900872,0.5364741641337386
wcv_ratio_n_clusters_500,1.2020648360901978,0.4048706240487062,0.8848730693938474,0.48632218844984804
centroid_distance_n_points_per_cluster_10,0.7943592657484229,0.2785388127853881,0.9390081603450472,0.30851063829787234
cluster_proportion_n_points_per_cluster_10,5.680734990896383,0.8599695585996956,6.182079013377324,0.8799392097264438
iterations_k_n_points_per_cluster_10,0.4212063813549491,0.3165905631659056,0.2596689279284695,0.2674772036474164
wcv_ratio_n_points_per_cluster_10,0.5480740752217852,0.1506849315068493,0.334618337431749,0.21732522796352582
centroid_distance_n_points_per_cluster_30,0.7717461528277663,0.1050228310502283,0.6187045119451302,0.15045592705167174
cluster_proportion_n_points_per_cluster_30,4.720856515552338,0.7945205479452054,5.535933119667295,0.8708206686930091
iterations_k_n_points_per_cluster_30,0.5150589344451736,0.3820395738203957,0.4085951260090565,0.30851063829787234
wcv_ratio_n_points_per_cluster_30,0.4270124241096938,0.1537290715372907,0.16454516706501965,0.23708206686930092
centroid_distance_n_points_per_cluster_100,0.8880237981752978,0.0715372907153729,1.2078175941611922,0.05927051671732523
cluster_proportion_n_points_per_cluster_100,3.542138280601352,0.756468797564688,4.807949298842115,0.837386018237082
iterations_k_n_points_per_cluster_100,0.7186738505321809,0.4581430745814307,0.6695653477111617,0.44680851063829785
